ETER ID,Institution Name,Reference year,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,Flag Academic Staff FTE,Total academic staff (HC),Flag Academic Staff HC,Country code
CZ0069,"Vysoká škola sociálně-správní, Institut celoživotního vzdělávání Havířov, o.p.s.",2012,private,other,,,347.0,0,1752.0,0,CZ
CZ0071,"AKCENT College, s.r.o.",2012,private,other,,,86.0,0,1526.0,0,CZ
CZ0072,Policejní akademie České republiky v Praze,2012,public,uni,,,2580.0,0,4429.0,0,CZ
CZ0073,Univerzita obrany v Brně,2012,public,uni,,,1817.0,0,5605.0,0,CZ
CZ0074,"ARCHIP, s.r.o.",2012,private,other,,,41.0,0,2728.0,0,CZ
CZ0075,"Vysoká škola aplikované psychologie, s.r.o.",2012,private,other,,,20.0,0,78.0,0,CZ
DE0001,Albert-Ludwigs-Universität Freiburg,2012,public,uni,11541.0,4272.0,22090.0,0,35.0,0,DE
DE0002,Ruprecht-Karls-Universität Heidelberg,2012,public,uni,12523.0,5067.0,26786.0,0,23.0,0,DE
DE0003,Universität Hohenheim,2012,public,uni,1681.0,744.0,8874.0,0,1958.0,0,DE
DE0004,Karlsruher Institut für Technologie (KIT) - Bereich Hochschule,2012,public,uni,4578.0,2923.0,22661.0,0,1338.0,0,DE
DE0005,Universität Konstanz,2012,public,uni,1759.0,1018.0,10235.0,0,1788.0,0,DE
DE0006,Universität Mannheim,2012,public,uni,1305.0,875.0,11622.0,0,756.0,1,DE
DE0007,Universität Stuttgart,2012,public,uni,4776.0,3112.0,22480.0,0,7833.0,0,DE
DE0008,Eberhard Karls Universität Tübingen,2012,public,uni,9573.0,3596.0,24498.0,0,8955.0,0,DE
DE0009,Universität Ulm,2012,public,uni,6343.0,2029.0,8817.0,0,8101.0,0,DE
DE0012,Zeppelin Universität Friedrichshafen (Priv. H),2012,private,uni,167.0,64.0,771.0,0,1066.0,0,DE
DE0013,"AKAD, Wissenschaftliche Hochschule Lahr (Priv. Fern-H für Berufstätige)",2012,private,uni,25.0,18.0,417.0,0,50.0,0,DE
DE0015,Hochschule für jüdische Studien Heidelberg,2012,private,uni,28.0,15.0,105.0,0,918.0,0,DE
DE0016,Universität Augsburg,2012,public,uni,1563.0,1082.0,17314.0,0,4505.0,0,DE
DE0017,Otto-Friedrich-Universität Bamberg,2012,public,uni,1088.0,723.0,11787.0,0,5923.0,0,DE
DE0018,Universität Bayreuth,2012,public,uni,1894.0,1184.0,10764.0,0,4276.0,0,DE
DE0019,Katholische Universität Eichstätt-Ingolstadt (KU),2012,private,uni,652.0,387.0,4730.0,0,4753.0,0,DE
DE0020,Friedrich-Alexander-Universität Erlangen-Nürnberg,2012,public,uni,10366.0,4777.0,32872.0,0,3557.0,1,DE
DE0021,Ludwig-Maximilians-Universität München,2012,public,uni,14082.0,5905.0,43134.0,0,31.0,0,DE
DE0022,Technische Universität München,2012,public,uni,11064.0,5729.0,31120.0,0,59.0,1,DE
DE0023,Universität der Bundeswehr München,2012,public,uni,1185.0,705.0,2944.0,0,81.0,0,DE
DE0024,Hochschule für Politik München,2012,public,uni,17.0,10.0,517.0,0,280.0,0,DE
DE0025,Universität Passau,2012,public,uni,824.0,524.0,9753.0,0,181.0,0,DE
DE0026,Universität Regensburg,2012,public,uni,5758.0,2426.0,18765.0,0,989.0,0,DE
DE0027,Julius-Maximilians-Universität Würzburg,2012,public,uni,9015.0,3430.0,22883.0,0,579.0,0,DE
DE0028,Freie Universität Berlin,2012,public,uni,4394.0,2387.0,29036.0,0,3075.0,0,DE
DE0029,Technische Universität Berlin,2012,public,uni,5035.0,3009.0,28452.0,0,2439.0,0,DE
DE0031,Humboldt-Universität zu Berlin,2012,public,uni,3543.0,2144.0,26379.0,0,314.0,0,DE
DE0032,ESCP-EAP Europäische Wirtschaftshochschule Berlin,2012,private,uni,47.0,20.0,136.0,0,6506.0,0,DE
DE0033,"European School of Management and Technology, Berlin (Priv. H)",2012,private,uni,63.0,34.0,147.0,0,1033.0,1,DE
DE0034,Hertie School of Governance Berlin (Priv. wiss. H),2012,private,uni,82.0,38.0,281.0,0,289.0,0,DE
DE0035,Steinbeis-Hochschule Berlin (Priv. H),2012,private,uni,275.0,65.0,5616.0,0,338.0,0,DE
DE0036,Deutsche Universität für Weiterbildung Berlin (Priv. wiss. H),2012,private,uni,68.0,47.0,212.0,0,89.0,0,DE
DE0037,Brandenburgische Technische Universität Cottbus,2012,public,uas,1158.0,663.0,6606.0,0,3074.0,0,DE
DE0038,Europa-Universität Viadrina Frankfurt (Oder),2012,public,uni,469.0,267.0,6383.0,0,4995.0,0,DE
DE0039,Universität Potsdam,2012,public,uni,2340.0,1550.0,19184.0,0,2901.0,0,DE
DE0040,Universität Bremen,2012,public,uni,2680.0,1755.0,17633.0,0,2654.0,0,DE
DE0041,Jacobs University Bremen (Priv. H),2012,private,uni,403.0,257.0,885.0,0,2593.0,0,DE
DE0042,Universität Hamburg,2012,public,uni,10317.0,4242.0,36746.0,0,191.0,0,DE
DE0043,Technische Universität Hamburg-Harburg,2012,public,uni,1248.0,730.0,6284.0,0,156.0,0,DE
